Cities	Countries	Abbr	
Banz	 Papua New Guinea	BNZ	
Baoshan	 China	BSD	
Baotou	 China	BAV	
Bapi	 Papua New Guinea	BPD	
Bar Harbor	 ME [Hancock County-Bar Harbor Airport]	BHB	
Baracoa	 Cuba	BCA	
Barahona	 Dominican Republic	BRX	
Barakoma	 Solomon Islands	VEV	
Baramita	 Guyana	BMJ	
Baranof	 AK [Warm Spring Bay Seaplane Base]	BNF	
Barat	 Yemen	TTV	
Barbados (Bridgetown) Barbados		BGI	
Barbuda (Codrington)	 Barbuda Is.	BBQ	
Barcaldine	 Queensland	BCI	
Barcelona [Aeropuerto Transoceanico de Barcelona]	 Spain	BCN	
Barcelona [Jose A. Anzoategui]	 Venezuela	BLA	
Barcelonnette	 France	BAE	
Barcelos	 AM	BAZ	
Bardera	 Somalia	BSY	
Bardstown	 KY [Samuels Field]	BRY	
Bardufoss	 Norway	BDU	
Bari [Palese Macchie]	 Italy	BRI	
Barinas	 Venezuela	BNS	
Bario	 Sarawak	BBN	
Barisal	 Bangladesh	BZL	
Barkly Downs	 Queensland	BKP	
Barnaul	 Altay	BAX	
Barnwell	 SC [Barnwell County Airport]	BNL	
Baroda (Vadodara)	 India	BDQ	
Barora	 Solomon Islands	RRI	
Barquisimeto	 Venezuela	BRM	
Barra Colorado	 Costa Rica	BCL	
Barra do Corda	 MA	BDC	
Barra do Garcas	 MG	BPG	
Barra do Pirai	 RJ	QBD	
Barra Mansa	 RJ	QBN	
Barra	 BA	BQQ	
Barra	 Scotland	BRR	
Barranca de Upi	 Colombia	BAC	
Barrancabermeja	 Colombia	EJA	
Barrancominas	 Colombia	NBB	
Barranquilla [Ernesto Cortissoz]	 Colombia	BAQ	
Barre/Montpelier	 VT [Edward F. Knapp State Airport]	MPV	
Barreiras	 BA	BRA	
Barreirinhas	 MA	BRB	
Barretos	 SP	BAT	
Barrow-in-Furness	 United Kingdom	BWF	
Barrow Island	 Western Australia	BWB	
Barrow	 AK [Wiley Post-Will Rogers Airport]	BRW	
Barter Island	 AK [Barter Island LRRS]	BTI	
Barth	 Germany	BBH	
Bartica	 Guyana	GFO	
Bartlesville	 OK [Bartlesville Municipal Airport]	BVO	
Bartow	 FL [Bartow Municipal Airport]	BOW	
Basankusu	 Zaire	BSU	
Basco	 Philippines	BSO	
Basel [Basel/Mulhouse EuroAirport]	 Switzerland	BSL	
Basel/Mulhouse [EuroAirport]	 Switzerland/France	EAP	
Basongo	 Zaire	BAN	
Basra [International]	 Iraq	BSR	
Basse-Terre	 Guadeloupe	BBR	
Bassein	 Myanmar	BSX	
Basseterre	 St. Kitts [Golden Rock]	SKB	
Bassett	 NE [Rock County Airport]	RBE	
Bastia	 Corsica [Poretta]	BIA	
Bata	 Equatorial Guinea	BSG	
Batam	 Batu Besar	BTH	
Batangafo	 Central African Republic	BTG	
Batavia Downs	 Queensland	BVW	
Batemans Bay	 New South Wales	QBW	
Batesville	 AR [Batesville Regional Airport]	BVX	
Batesville	 IN [Hillenbrand Industries Airport]	HLB	
Bathurst Island	 Northern Territory	BRT	
Bathurst	 NB [Bathurst Airport]	ZBF	
Bathurst	 New South Wales	BHS	
Batman [Batman Military Air Base]	 Turkey	BAL	
Batna	 Algeria	BLJ	
Batom	 Indonesia	BXM	
Baton Rouge	 LA USA	BTR	
Batouri	 Cameroon	OUR	
Batsfjord	 Norway	BJF	
Battambang	 Cambodia	BBM	
Batticalca	 Sri Lanka	BTC	
Battle Creek	 MI [W. K. Kellogg Airport]	BTL	
Battle Mountain	 NV [Lander County Airport]	BAM	
Batu Licin	 Indonesia	BTW	
Batumi	 Abkhazia	BUS	
Baucau	 Indonesia	BCH	
Bauchi	 Nigeria	BCU	
Baudette	 MN [Baudette International Airport]	BDE	
Bauru	 SP	BAU	
Bawan	 Papua New Guinea	BWJ	
Bay City	 TX [Bay City Municipal Airport]	BBC	
Bay of Islands	 New Zealand	BYO	
Bayamo	 Cuba	BYM	
Bayreuth	 Germany	BYU	
Baytown	 TX [Baytown Airport]	HPY	
Beagle Bay	 Western Australia	BEE	
Bealanana	 Madagascar	WBE	
Bear Creek	 AK [Bear Creek 3 Airport]	BCC	
Bearskin Lake	 ON [Bearskin Lake Aerodrome]	XBE	
Beatrice	 NE [Beatrice Municipal Airport]	BIE	
Beatton River	 BC	YZC	
Beatty	 NV [Beatty Airport]	BTY	
Beaufort	 SC [Beaufort County Airport]	BFT	
Beaumont	 TX [Beaumont Municipal Airport]	BMT	
Beaumont/Port Arthur	 TX [Jefferson County Airport]	BPT	
Beauvais [Tille]	 France	BVA	
Beaver Creek	 CO	ZBV	
Beaver Creek	 YT [Beaver Creek Airport]	YXQ	
Beaver Falls	 PA [Beaver County Airport]	BFP	
Beaver Inlet	 AK	BVD	
Beaver	 AK [Beaver Airport]	WBQ	
Bechar [Leger]	 Algeria	CBH	
Beckley	 WV [Raleigh County Memorial Airport]	BKW	
Bededouro	 SP	QAU	
Bedford Downs	 Western Australia	BDW	
Bedford	 IN [Virgil I. Grissom Municipal Airport]	BFR	
Bedford	 MA [Laurence G. Hanscom Field]	BED	
Bedourie	 Queensland	BEU	
Bedwell Harbour	 BC [Bedwell Harbour Water Aerodrome]	YBW	
Beer Sheba (Beersheba)	 Israel	BEV	
Beeville	 TX [Chase Field Naval Air Station]	NIR	
Befandriana	 Madagascar	WBD	
Bega	 New South Wales	QBE	
Begamganj	 Bangladesh	BJP	
Beica	 Ethiopia	BEI	
Beida	 Libya	LAQ	
Beidah	 Yemen	BYD	
Beihai	 China	BHY	
Beihan	 Yemen	BHN	
Beijing (Peking) [Capital]	 China	PEK	
Beijing (Peking)	 China	BJS	
Beijing [Nan Yuan Air Base]	 China	NAY	
Beira	 Mozambique	BEW	
Beirut [International]	 Lebanon	BEY	
Bejaia [Soummam]	 Algeria	BJA	
Bekily	 Madagascar	OVA	
Belaga	 Sarawak	BLG	
Belem	 PA [Vale de Caes]	BEL	
Belep	 Belep Islands	BMY	
Belfast	 Northern Ireland [Aldergrove International]	BFS	
Belfast	 Northern Ireland [Harbour Airport]	BHD	
Belfort	 France	BOR	
Belgaum	 India	IXG	
Belgrade (Beograd) [Surcin]	 Yugoslavia	BEG	
Belgrade	 Yugoslavia	BJY	
Belize City [Belize City Municipal Airstrip]	 Belize	TZA	
Belize City [Philip S. W. Goldson Int'l Airport]	 Belize	BZE	
Bell Island	 AK [Bell Island Hot Springs Seaplane Base]	KBE	
Bella Bella	 BC [Denny Island Airport]	ZEL	
Bella Coola	 BC [Bella Coola Airport]	QBC	
Bella Union	 Uruguay	BUV	
Bella Yella	 Liberia	BYL	
Bellaire	 MI [Antrim County Airport]	ACB	
Bellary	 India	BEP	
Bellavista	 Peru	BLP	
Belle Chasse	 LA	BCS	 USA
Belle Fourche	 SD [Belle Fourche Municipal Airport]	EFC	
Belleville	 IL [Scott Air Force Base]	BLV	
Bellevue	 WA [Taymar Heliport]	BVU	
Bellingham	 WA [Bellingham International Airport]	BLI	
Bellona	 Solomon Islands	BNY	
Belluno	 Italy	BLX	
Belmar/Farmingdale	 NJ [Allaire Airport]	BLM	
Belmonte	 BA	BVM	
Belmullet	 Ireland	BLY	
Belo Horizonte	 MG [Confins]	BHZ	
Belo Horizonte	 MG	CNF	
Belo Horizonte	 MG	PLU	
Belo	 Madagascar	BMD	
Beltsy	 Moldova	BZY	
Bembridge	 England	BBP	
Bemichi	 Guyana	BCG	
Bemidji	 MN [Bemidji-Beltrami County Airport]	BJI	
Benalla	 Victoria	BLN	
Benawi	 Papua New Guinea	BWP	
Benbecula	 Scotland	BEB	
Bengbu	 China	BFU	
Benghazi [Benina]	 Libya	BEN	
Bengkulu	 Sumatra	BKS	
Benguela	 Angola	BUG	
Beni	 Zaire	BNC	
Benin City	 Nigeria	BNI	
Benjamin Constant	 AM	QAV	
Benjina	 Indonesia	BJK	
Bennettsville	 SC [Marlboro County Airport]	BTN	
Bensbach	 Papua New Guinea	BSP	
Benson	 England	BEX	
Benson	 MN [Benson Municipal Airport]	BBB	
Bento Goncalves	 RS	BGV	
Benton Harbor	 MI [Ross Field-Twin Cities Airport]	BEH	
Beppu	 Japan	BPU	
Bequia	 St. Vincent and the Grenadines	BQU	
Berau	 Indonesia	BEJ	
Berbera	 Somalia	BBO	
Berberati	 Central African Republic	BBT	
Berclair	 TX [Goliad Naval Auxiliary Landing Field]	NGT	
Berdyansk	 Zaporizhzhya	ERD	
Bereina	 Papua New Guinea	BEA	
Berens River	 MB [Berens River Airport]	YBV	
Beresy	 Ivory Coast	BBV	
Bergamo	 Italy	BGY	
Bergen [Flesland]	 Norway	BGO	
Bergerac	 France	EGC	
Berkeley	 CA	JBK	
Berlevag	 Norway	BVG	
Berlin [Metropolitan Area]	 Germany	BER	
Berlin [Schoenefeld]	 Germany	SXF	
Berlin [Tegel]	 Germany	TXL	
Berlin [Tempelhof]	 Germany	THF	
Berlin	 NH [Berlin Municipal Airport]	BML	
Bermejo	 Bolivia	BJO	
Bermuda [Bermuda Naval Air Station]	 Bermuda	NWU	
Bermuda [Kindley Field]	 Bermuda	BDA	
Bern (Berne) [Bern-Belp]	 Switzerland	BRN	
Bern	 Switzerland	ZDJ	
Beroroha	 Madagascar	WBO	
Bertoua	 Cameroon	BTA	
Beru	 Kiribati	BEZ	
Besalampy	 Madagascar	BPY	
Bethel	 AK [Bethel Airport]	BET	
Bethel	 AK [Bethel Seaplane Base]	JBT	
Bethpage	 NY [Grumman-Bethpage Airport]	BPA	
Betoiky	 Madagascar	BKU	
Betoota	 Queensland	BTX	
Betou	 Cameroon	BTB	
Bettles	 AK [Bettles Airport]	BTT	
Beverley Springs	 Western Australia	BVZ	
Beverly	 MA [Beverly Municipal Airport]	BVY	
Beziers [Vias]	 France	BZR	
Bhadrapur	 Nepal	BDP	
Bhairawa	 Nepal	BWA	
Bhamo	 Myanmar	BMO	
Bharatpur	 Nepal	BHR	
Bhatinda	 India	BUP	
Bhavnagar	 India	BHU	
Bhojpur	 Nepal	BHP	
Bhopal	 India	BHO	
Bhubaneswar	 India	BBI	
Bhuj	 India	BHJ	
Biak [Frans Kaisiepo]	 Indonesia	BIK	
Bialla	 Papua New Guinea	BAA	
Biarritz [Parme (Bayonne-Anglet)]	 France	BIQ	
Biaru	 Papua New Guinea	BRP	
Biawonque	 Gabon	BAW	
Bielefeld	 Germany	BFE	
Big Bay Marina	 BC	YIG	
Big Bay	 BC [Big Bay Yacht Club Seaplane Base]	YYA	
Big Bay	 Vanuatu	GBA	
Big Bear	 CA [Big Bear City Airport]	RBF	
Big Bell	 Western Australia	BBE	
Big Creek	 AK	BIC	
Big Creek	 Belize	BGK	
Big Lake	 AK [Big Lake Airport]	BGQ	
Big Mountain	 AK [Big Mountain Airport]	BMX	
Big Piney	 WY [Big Piney-Marbleton Airport]	BPI	
Big Rapids	 MI [Roben-Hood Airport]	WBR	
Big Spring	 TX [Big Spring McMahon-Wrinkle Airport]	BGS	
Big Spring	 TX	HCA	
Big Trout Lake	 ON [Big Trout Lake Airport]	YTL	
Biggin Hill	 England	BQH	
Bikaner	 India	BKB	
Bikini Atoll	 Marshall Islands	BII	
Bilaspur	 India	PAB	
Bilbao	 Spain	BIO	
Bildudalur	 Iceland	BIU	
Billiluna Station	 Western Australia	BIW	
Billings	 MT [Billings Logan International Airport]	BIL	
Billund	 Denmark	BLL	
Biloxi	 MS [Keesler Air Force Base]	BIX	
Bima	 Indonesia	BMU	
Bimin	 Papua New Guinea	BIZ	
Bimini (Alice Town)	 Bahamas	BIM	
Bimini	 Bimini [North Seaplane Base]	NSB	
Binghamton	 NY USA	BGM	
Biniguni	 Papua New Guinea	XBN	
Bintulu	 Sarawak	BTU	
Bintuni	 Indonesia	NTI	
Biraro	 Central African Republic	IRO	
Biratnagar	 Nepal	BIR	
Birch Creek	 AK [Birch Creek Airport]	KBC	
Bird Island	 Seychelles	BDI	
Birdsville	 Queensland	BVI	
Birjand	 Iran	XBJ	
Birmingham	 AL [Birmimgham Air National Guard Airport]	ROE	
Birmingham	 AL [Birmingham International Airport]	BHM	
Birmingham	 England	BHX	
Birni n'Konni	 Niger	BKN	
Bisbee	 AZ [Bisbee Municipal Airport]	BSQ	
Bisha	 Saudi Arabia	BHH	
Bishkek (Frunze)	 Chuy	FRU	
Bisho	 South Africa	BIY	
Bishop	 CA [Bishop Airport]	BIH	
Biskra	 Algeria	BSK	
Bislig	 Philippines	BPH	
Bismarck	 ND [Bismarck Municipal Airport]	BIS	
Bissau [Bissallanca]	 Guinea Bissau	BXO	
Bitam	 Gabon	BMM	
Bitburg [Bitburg Air Base]	 Germany	BBJ	
Bitola	 Macedonia	QBI	
Bizant	 Queensland	BZP	
Black Tickle	 NF [Black Tickle Aerodrome]	YBI	
Blackall	 Queensland	BKQ	
Blackbush	 United Kingdom	BBS	
Blackpool	 England [Squire's Gate Airport]	BLK	
Blacksburg	 VA [Virginia Tech Airport]	BCB	
Blackstone	 VA USA	BKT	
Blackwater	 Queensland	BLT	
Blackwell	 OK [Earl Henry Airport]	BWL	
Blagoveschensk	 Amur	BQS	
Blaine	 WA [Blaine Municipal Airport]	BWS	
Blairsville	 PA [Jim Shearer South Airport]	BSI	
Blakeley Island	 WA [Blakeley Island Airport]	BYW	
Blanc Sablon	 QC	YBX	
Blanding	 UT [Blanding Municipal Airport]	BDG	
Blantyre [Chileka]	 Malawi	BLZ	
Blenheim [Woodbourne Air Station]	 New Zealand	BHE	
Block Island	 RI [Block Island State Airport]	BID	
Bloemfontein [J.B.M. Hertzog]	 South Africa	BFN	
Blonduos [Hjaltabakki]	 Iceland	BLO	
Bloodvein River	 MB	YDV	
Bloomfield	 Queensland	BFC	
Bloomington	 IL [Bloomington/Normal Airport]	BMI	
Bloomington	 IN [Monroe County Airport]	BMG	
Blubber Bay	 BC	XBB	
Blue Bell	 PA [Wings Field]	BBX	
Blue Fox Bay	 AK	BFB	
Blue Lagoon	 Fiji	BXL	
Bluefield	 WV [Mercer County Airport]	BLF	
Bluefields	 Nicaragua	BEF	
Blumenau	 SC	BNU	
Blythe	 CA [Blythe Airport]	BLH	
Blytheville	 AR [Blytheville Municipal Airport]	HKA	
Blytheville	 AR [Eaker Air Force Base]	BYH	
Bo	 Sierra Leone	KBS	
Boa Vista	 RR	BVB	
Boana	 Papua New Guinea	BNV	
Boang	 Papua New Guinea	BOV	
Boavista	 Boavista	BVC	
Bob Quinn Lake	 Canada	YBO	
Bobo/Dioulasso	 Burkina Faso	BOY	
Boca do Acre	 AM	BCR	
Boca Raton	 FL [Boca Raton Airport]	BCT	
Bocas del Toro	 Panama	BOC	
Bochum	 Germany	QBO	
Bodinumu	 Papua New Guinea	BNM	
Bodo	 Norway	BOO	
Boeblingen	 Germany	PHM	
Boende	 Zaire	BNB	
Bogalusa	 LA [George R. Carr Memorial Air Field]	BXA	
Bogande	 Burkina Faso	XBG	
Boghe	 Mauritania	BGH	
Bogota [Eldorado]	 Colombia	BOG	
Bogra	 Bangladesh	BGG	
Boigu Island	 Queensland	GIC	
Boise	 ID [Boise Air Terminal (Gowen Field)]	BOI	
Boke	 Guinea	BKJ	
Bokondini	 Indonesia	BUI	
Bokoro	 Chad	BKR	
Boku	 Papua New Guinea	BOQ	
Bol	 Chad	OTC	
Bol	 Croatia	BWK	
Bolaang	 Indonesia	BJG	
Bollon	 Queensland	BLS	
Bologna [Giuseppe Marconi (Borgo Panigale)]	 Italy	BLQ	
Bolovip	 Papua New Guinea	BVP	
Bolwarra	 Queensland	BCK	
Bolzano (Bozen)	 Italy	BZO	
Bolzano (Bozen)	 Italy	ZBN	
Bom Jesus da Lapa	 BA	LAZ	
Boma	 Zaire	BOA	
Bomai	 Papua New Guinea	BMH	
Bombay [Sahar (Santa Cruz) International Airport]	 India	BOM	
Bonaire (Kralendijk) [Flamingo Airport]	 Netherlands Antilles	BON	
Bonanza	 Nicaragua	BZA	
Bonaventure	 QC [Bonaventure Airport]	YVB	
Bondoukou	 Ivory Coast	BDK	
Bongo	 Gabon	BGP	
Bongor	 Chad	OGR	
Bonn [Wahn]	 Germany	BNJ	
Bonnyville	 AB [Bonnyville Airport]	YBY	
Bontang	 Indonesia	BXT	
Bonthe	 Sierra Leone	BTE	
Boone	 IA [Boone Municipal Airport]	BNW	
Booneville	 MS [Booneville/Baldwyn Airport]	WDQ	
Boque	 Gabon	BGB	
Bora Bora	 Society Islands	BOB	
Borba	 Brazil	RBB	
Bordeaux [Merignac]	 France	BOD	
Borden	 ON [Borden Airport]	YBN	
Bordj Badji Mokhtar	 Algeria	BMW	
Borgarfjordur	 Iceland	BGJ	
Borger	 TX [Hutchinson County Airport]	BGD	
Boridi	 Papua New Guinea	BPB	
Borkum	 Germany	BMK	
Borlange [Borlange Air Base]	 Sweden	BLE	
Bornite	 AK	RLU	
Borotou	 Venezuela	BRZ	
Borrego Springs	 CA [Borrego Valley Airport]	BXS	
Borroloola	 Northern Territory	BOX	
Bossangoa	 Central African Republic	BSN	
Bossaso	 Somalia	BSA	
Bossembele	 Central African Republic	BEM	
Bosset	 Papua New Guinea	BSV	
Bossier City	 LA [Barksdale Air Force Base]	BAD	
Bost	 Afghanistan	BST	
Boston	 MA [Boston City Heliport]	JBC	
Boston	 MA [Logan International Airport]	BOS	
Boswell Bay	 AK [Boswell Bay Airport]	BSW	
Botopasie	 Suriname	BTO	
Botucatu	 SP	QCJ	
Bou Saada	 Algeria	BUJ	
Bouake	 Ivory Coast	BYK	
Bouar	 Central African Republic	BOP	
Bouca	 Central African Republic	BCF	
Boulder City	 NV [Boulder City Municipal Airport]	BLD	
Boulder	 CO [Boulder Municipal Airport]	WBU	
Boulia	 Queensland	BQL	
Boulsa	 Burkina Faso	XBO	
Bouna	 Ivory Coast	BQO	
Boundary	 AK [Boundary Airport]	BYA	
Boundiali	 Ivory Coast	BXI	
Boundji	 Congo	BOE	
Bountiful	 UT [Skypark]	BTF	
Bourg St. Maurice	 France	QBM	
Bourges	 France	BOU	
Bourke	 New South Wales	BRK	
Bournemouth	 England	BOH	
Bousso	 Chad	OUT	
Boutilimit	 Mauritania	OTL	
Bowen	 Queensland	ZBO	
Bowling Green	 KY USA	BWG	
Bowling Green/Fort A. P. Hill	 VA USA	APH	
Bowman	 ND [Bowman Municipal Airport]	BWM	
Boxborough	 MA	BXC	
Boyne Falls	 MI [Boyne Mountain Airport]	BFA	
Bozeman	 MT [Gallatin Field]	BZN	
Bozoum	 Central African Republic	BOZ	
Brack	 Libya	QBF	
Bradford	 England	BRF	
Bradford	 IL [Rinkenberger RLA]	BDF	
Bradford	 PA [Bradford Regional Airport]	BFD	
Brady	 TX [Curtis Field]	BBD	
Braga	 Portugal	BGZ	
Braganca	 PA	BCZ	
Braganca	 Portugal	BGC	
Brahman	 Papua New Guinea	BRH	
Brainerd	 MN USA	BRD	
Braintree	 England [wethersfield RAF Station]	WXF	
Brampton Island	 Queensland	BMP	
Brandon	 MB [Brandon Airport]	YBR	
Brandon	 United Kingdom	LKZ	
Branson	 MO [Table Rock Heliport]	ZBX	
Brantford	 ON [Brantford Airport]	YFD	
Brasilia	 DF [Internacional]	BSB	
Bratislava [Bratislava Bus Station]	 Slovakia	ZRG	
Bratislava [Ivanka Airport]	 Slovakia	BTS	
Bratsk	 Irkutsk	BTK	
Braunschweig	 Germany	BWE	
Brawley	 CA [Brawley Municipal Airport]	BWC	
Brazoria	 TX [Eagle Air Park]	BZT	
Brazzaville [Maya Maya]	 Congo	BZV	
Breckenridge	 CO [Breckenridge Airport]	QKB	
Breckenridge	 TX [Stephens County Airport]	BKD	
Breiddalsvik [Breidhdalur]	 Iceland	BXV	
Bremen [Lemwerder (DASA Plant)]	 Germany	XLW	
Bremen [Nieuenland]	 Germany	BRE	
Bremerhaven	 Germany	BRV	
Bremerton	 WA [Bremerton National Airport]	PWT	
Brescia	 Italy	QBS	
Brest [Guipavas]	 France	BES	
Brest	 Brest	BQT	
Breves	 PA	BVS	
Brevig Mission	 AK [Brevig Mission Airport]	KTS	
Brevoort	 NT [Brevoort Airport]	XAS	
Brewarrina	 New South Wales	BWQ	
Brezhnev	 Russia	BZH	
Bria	 Central African Republic	BIV	
Bridgeport	 CT [Igor I. Sikorsky Memorial Airport]	BDR	
Bridgewater	 VA [Bridgewater Air Park]	VBW	
Brigham City	 UT [Brigham City Airport]	BMC	
Bright	 Victoria	BRJ	
Brighton Downs	 Queensland	BHT	
Brighton	 England	BSH	
Brindisi [Casale]	 Italy	BDS	
Brisbane	 Queensland [International]	BNE	
Bristol	 England [Lulsgate]	BRS	
Britton	 SD [Britton Municipal Airport]	TTO	
Brive-La-Gaillarde	 France	BVE	
Brno	 Czech Republic	BRQ	
Broadus	 MT [Broadus Airport]	BDX	
Broadview	 SK	YDR	
Brochet	 MB [Brochet Airport]	YBT	
Brockville	 ON [Brockville Aerodrome]	XBR	
Broken Bow	 NE [Broken Bow Municipal Airport]	BBW	
Broken Hill	 New South Wales	BHQ	
Bromont	 QC [Bromont Airport]	ZBM	
Bronnoysund (Broennoeysund) [Bronnoy]	 Norway	BNN	
Bronson Creek	 BC [Bronson Creek Aerodrome]	YBM	
Brookings	 OR [Brookings State Airport]	BOK	
Brookings	 SD [Brookings Municipal Airport]	BKX	
Brooks Camp (Katmai National Park)	 AK USA	BKF	
Brooks Lodge (Katmai National Park)	 AK USA	RBH	
Brooksville	 FL [Hernando County Airport]	BKV	
Broome	 Western Australia	BME	
Broughton Island	 NT [Broughton Island Airport]	YVM	
Brownsville	 TX USA	BRO	
Brownwood	 TX [Brownwood Municipal Airport]	BWD	
Bruggen	 Germany	BGN	
Brumado	 BA	BMS	
Brunette Downs	 Northern Territory	BTD	
Brunswick	 GA [Glynco Jetport]	BQK	
Brunswick	 GA [Glynco Naval Air Station]	NEA	
Brunswick	 GA [Malcolm McKinnon Airport]	SSI	
Brunswick	 ME [Brunswick Naval Air Station]	NHZ	
Brus Laguna	 Honduras	BHG	
Brusque	 SC	QAB	
Brussels (Bruxelles) [National/Zaventem]	 Belgium	BRU	
Bryan	 TX [Coulter Field]	CFD	
Bryansk	 Bryansk	BZK	
Bryce Canyon	 UT [Bryce Canyon Airport]	BCE	
Bua	 Fiji	BVF	
Bubaque	 Guinea Bissau	BQE	
Bucaramanga [Palonegro]	 Colombia	BGA	
Buchanan	 Liberia	UCN	
Buchans	 NF	YZM	
Bucharest [Baneasa]	 Romania	BBU	
Bucharest [Metropolitan Area]	 Romania	BUH	
Bucharest [Otopeni]	 Romania	OTP	
Buckeye	 AZ [Buckeye Municipal Airport]	BXK	
Buckland	 AK [Buckland Airport]	BKC	
Budapest [Ferihegyi]	 Hungary	BUD	
Budardalur	 Iceland	BQD	
Budva	 Yugoslavia	QBA	
Buenaventura	 Colombia	BUN	
Buenos Aires [Aeroparque Jorge Newbery]	 Argentina	AEP	
Buenos Aires [Metropolitan Area]	 Argentina	BUE	
Buenos Aires	 Argentina	EZE	
Buenos Aires	 Costa Rica	BAI	
Buffalo Narrows	 SK [Buffalo Narrows Airport]	YVT	
Buffalo Range [Chiredzi]	 Zimbabwe	BFO	
Buffalo	 NY [Greater Buffalo International Airport]	BUF	
Buffalo	 WY [Johnson County Airport]	BYG	
Bugulma	 Tatarstan	UUA	
Buin	 Papua New Guinea	UBI	
Bujumbura [International]	 Burundi	BJM	
Buka	 Papua New Guinea	BUA	
Bukavu [Kuvumu]	 Zaire	BKY	
Bukhoro (Bukhara)	 Bukhara	BHK	
Bukoba	 Tanzania	BKZ	
Bulawayo	 Zimbabwe	BUQ	
Bulchi	 Ethiopia	BCY	
Bulimba	 Queensland	BIP	
Bull Harbour	 BC [Bull Harbour Water Aerodrome]	YBH	
Bullfrog Basin (Glen Canyon NRA)	 UT USA	BFG	
Bullhead City	 AZ [Laughlin/Bullhead City Airport]	BHC	
Bulolo	 Papua New Guinea	BUL	
Bumba	 Zaire	BMB	
Bunbury	 Western Australia	BUY	
Bundaberg	 Queensland	BDB	
Bundi	 Papua New Guinea	BNT	
Bunia	 Zaire	BUX	
Buno Bedelle	 Ethiopia	XBL	
Bunyu	 Indonesia	BYQ	
Buol	 New Guinea	UOL	
Buraimi	 Oman	RMB	
Burao	 Somalia	BUO	
Burbank	 CA [Burbank-Glendale-Pasadena Airport]	BUR	
Bureta	 Fiji	LEV	
Burgas (Bourgas)	 Bulgaria	BOJ	
Burketown	 Queensland	BUC	
Burley	 ID [Burley Municipal Airport]	BYI	
Burlington	 IA [Burlington Municipal Airport]	BRL	
Burlington	 KS [Coffey County Airport]	UKL	
Burlington	 MA [Burlington Municipal Airport]	BBF	
Burlington	 ON [Burlington Airpark]	ZBA	
Burlington	 VT [Burlington International Airport]	BTV	
Burnie (Wynyard)	 Tasmania	BWT	
Burns Lake	 BC [Burns Lake Airport]	YPZ	
Burns	 OR [Burns Municipal Airport]	BNO	
Bursa	 Turkey	BTZ	
Burtonwood	 United Kingdom	BUT	
Burwash Landing	 YT [Burwash Airport]	YDB	
Burwell	 NE [Cram Field]	BUB	
Bury St. Edmunds	 England	BEQ	
Bushehr	 Iran	BUZ	
Busuanga	 Philippines	XCN	
Buta [Zega]	 Zaire	BZU	
Butare	 Rwanda	BTQ	
Butaritari	 Kiribati	BBG	
Butler	 MO [Butler Memorial Airport]	BUM	
Butler	 PA [Butler County Airport]	BTP	
Buton Babau	 Indonesia	BUW	
Butte	 MT [Bert Mooney Airport]	BTM	
Butterworth	 Malaysia	BWH	
Butterworth	 South Africa	UTE	
Butuan	 Philippines	BXU	
Buyo	 Ivory Coast	BUU	
Buzios	 Brazil	BZC	
Bydgoszcz	 Poland	BZG	
Byron Bay	 NT [Byron Bay Airport]	YUK	
Byron Bay	 Queensland	QYN	
Ca Mau	 Vietnam	CAH	
Caballococha	 Peru	LHC	
Cabimas	 Venezuela	CBS	
Cabin Creek	 AK	CBZ	
Cabinda	 Angola	CAB	
Cabo Rojo	 Dominican Republic	CBJ	
Cabool	 MO [Cabool Memorial Airport]	TVB	
Caceres	 MG	CCX	
Cachoeira do Sul	 RS	QDB	
Cachoeira	 BA	CCQ	
Cadillac	 MI [Wexford County Airport]	CAD	
Caen [Carpiquet]	 France	CFR	
Cagayan de Oro	 Philippines	CGY	
Cagayan de Sulu	 Philippines	CDY	
Cagliari	 Sardinia [Elmas]	CAG	
Cahokia	 IL/St. Louis	CPS	 USA
Cahors	 France	ZAO	
Caicara	 Venezuela	CXA	
Caiguma	 Australia	CGV	
Cairns	 Queensland [International]	CNS	
Cairo [Cairo International Airport]	 Egypt	CAI	
Cairo	 IL [Cairo Airport]	CIR	
Caixas do Sul	 RS	QXJ	
Cajamarca	 Peru	CJA	
Calabar	 Nigeria	CBQ	
Calabozo	 Venezuela	CLZ	
Calais [Dunkerque]	 France	CQF	
Calama	 Chile	CJC	
Calapan	 Philippines	CPP	
Calbayog	 Philippines	CYP	
Calcutta [Dum Dum International Airport]	 India	CCU	
Caldas Novas	 GO	CLV	
Caldwell	 NJ [Essex County Airport]	CDW	
Caledonia	 Panama	CDE	
Caleta Josefina	 Chile	WCJ	
Caleta Olivia	 Argentina	CVI	
Calexico	 CA [Calexico International Airport]	CXL	
Calgary	 AB [Calgary International Airport]	YYC	
Cali [Alfonso Bonilla Aragon]	 Colombia	CLO	
Calicut	 India	CCJ	
Calipatria	 CA [Calipatria Municipal Airport]	CLR	
Callaway Gardens	 GA USA	CWG	
Caloundra	 Queensland	CUD	
Calverton	 NY USA	CTO	
Calvi	 Corsica [Sainte Catherine]	CLY	
Camacari	 BA	QCC	
Camaguey [Ignacio Agramonte]	 Cuba	CMW	
Camaxilo	 Angola	CXM	
Cambridge Bay	 NT [Cambridge Bay Airport]	YCB	
Cambridge Highlands	 MA [D. J. Field] DJU Djupivogur	DJS	
Cambridge	 MA	JHY	
